TripId	HVLINE	Trip TimeStamp	Trip RunNumber	Trip LB	Stable Zero	Ramp Up	Recovery TimeStamp	Recovery RunNumber	Recovery LB	Stable Beams	Fill Number	Num CollBunches	Solenoid	Toroid	Module	Channel	Det	Side	Phi Wedge	SubPhi Wedge	Eta Sector	Electrode Side	Map	Powered Electrodes	HVLINE Status
531	243006	2011-10-03 20:36:01	190295	175	-1	176	2011-10-03 20:53:41	190296	10	Y	2180	1318	ON	ON	243	6	EMB	C	5	0	7	H	32>63	32	current
526	240001	2011-10-03 04:17:33	190256	832	-1	833	2011-10-03 04:27:02	190256	842	Y	2178	1318	ON	ON	240	1	EMB	C	4	0	2	L	32>63	32	current
528	242001	2011-10-03 04:17:33	190256	832	-1	833	2011-10-03 04:19:31	190256	835	Y	2178	1318	ON	ON	242	1	EMB	C	4	0	2	H	32>63	32	current
527	287013	2011-10-03 00:18:33	190256	597	607	-1	9999-12-31 23:00:00	0	0	Y	2178	1318	ON	ON	287	13	EMBPS	C	15	0	2	H	---------------	0	current
529	285013	2011-10-03 00:18:33	190256	597	607	-1	9999-12-31 23:00:00	0	0	Y	2178	1318	ON	ON	285	13	EMBPS	C	15	0	2	L	---------------	0	current
525	159013	2011-10-02 07:06:43	190236	941	-1	941	2011-10-02 07:09:10	190236	943	Y	2177	1318	ON	ON	159	13	HEC	C	28	0	4	EST2	33>40-ID=CR14	8	current
524	266012	2011-09-30 01:26:32	190116	410	411	-1	9999-12-31 23:00:00	0	0	Y	2171	1318	ON	ON	266	12	EMBPS	A	3	0	1	H	---------------	0	current
523	29007	2011-09-29 02:51:57	190046	67	92	-1	9999-12-31 23:00:00	0	0	Y	2168	1318	ON	ON	29	7	EMEC	A	6	4	6	H	86	1	new
522	266012	2011-09-28 05:02:28	189963	580	580	-1	9999-12-31 23:00:00	0	0	Y	2165	1317	ON	ON	266	12	EMBPS	A	3	0	1	H	---------------	0	current
520	304004	2011-09-25 23:27:11	189822	381	384	-1	9999-12-31 23:00:00	0	0	Y	2156	1318	ON	ON	304	4	EMB	C	7	-1	7	L	16>31	16	current
521	304005	2011-09-25 23:27:11	189822	381	385	-1	9999-12-31 23:00:00	0	0	Y	2156	1318	ON	ON	304	5	EMB	C	7	-1	7	H	16>31	16	current
519	10004	2011-09-24 17:19:31	189751	270	-1	270	2011-09-24 17:20:24	189751	271	Y	2150	1318	ON	ON	10	4	EMEC	A	1	1	2	L	0>23	24	current
517	36006	2011-09-23 17:46:09	189719	197	-1	198	2011-09-23 17:49:40	189719	201	N	2147	1318	ON	ON	36	6	EMEC	A	4	7	7	H	24>27	4	new
518	333007	2011-09-23 09:39:23	189693	344	-1	-1	2011-09-23 09:39:34	189693	345	Y	2144	1318	ON	ON	333	7	EMEC	A	5	8	8	L	28>31	4	new
516	62006	2011-09-23 03:18:46	189692	188	-1	188	2011-09-23 03:20:20	189692	190	N	2143	1318	ON	ON	62	6	HEC	A	29	0	4	EST1	33>40-ID=AR29	8	current
514	31004	2011-09-22 19:38:05	189660	25	-1	25	2011-09-22 19:43:20	189660	30	Y	2140	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
515	62006	2011-09-22 07:57:13	189610	463	-1	463	2011-09-22 08:00:55	189610	467	Y	2138	1318	ON	ON	62	6	HEC	A	29	0	4	EST1	33>40-ID=AR29	8	current
513	340004	2011-09-21 15:35:19	189598	375	-1	-1	2011-09-21 15:35:30	189598	375	Y	2135	1318	ON	ON	340	4	EMEC	A	1	1	6	L	0>23	24	new
512	38005	2011-09-20 12:04:59	189561	162	-1	163	2011-09-20 12:14:48	189561	172	Y	2129	1318	ON	ON	38	5	EMEC	A	4	6	7	L	20>23	4	new
510	67013	2011-09-16 22:08:15	189421	446	-1	446	2011-09-16 22:09:39	189421	447	Y	2117	1318	ON	ON	67	13	HEC	A	12	0	2	EST2	9>24-ID=AF15	16	current
511	3007	2011-09-16 20:14:04	189421	326	-1	326	2011-09-16 20:27:03	189421	339	Y	2117	1318	ON	ON	3	7	EMEC	A	5	4	0	L	72>95	24	current
509	118006	2011-09-15 20:19:29	189366	466	-1	467	2011-09-15 20:26:35	189366	473	Y	2110	1318	ON	ON	118	6	EMEC	C	1	3	4	L	48>71	24	current
508	206000	2011-09-14 03:13:13	189280	130	-1	130	2011-09-14 03:16:00	189280	133	Y	2105	1318	ON	ON	206	0	EMB	A	2	0	1	H	32>63	32	current
507	79007	2011-09-13 19:35:56	189242	144	-1	145	2011-09-13 19:40:37	189242	150	Y	2104	1318	ON	ON	79	7	HEC	A	31	0	2	PAD1	9>24-ID=CF19	16	current
506	79007	2011-09-13 18:19:04	189242	65	-1	66	2011-09-13 18:24:02	189242	71	Y	2104	1318	ON	ON	79	7	HEC	A	31	0	2	PAD1	9>24-ID=CF19	16	current
505	122008	2011-09-13 07:54:35	189207	367	-1	368	2011-09-13 07:56:21	189207	369	Y	2103	1318	ON	ON	122	8	EMEC	C	2	1	5	L	0>23	24	new
504	253005	2011-09-13 07:16:42	189207	328	-1	329	2011-09-13 07:18:53	189207	331	Y	2103	1318	ON	ON	253	5	EMB	C	11	0	6	L	32>63	32	current
503	41001	2011-09-13 01:13:31	189205	369	-1	370	2011-09-13 01:22:31	189205	379	Y	2103	1318	ON	ON	41	1	EMEC	A	2	2	8	H	4>7	4	new
502	102005	2011-09-13 01:00:14	189205	355	-1	-1	2011-09-13 01:00:39	189205	356	Y	2103	1318	ON	ON	102	5	EMEC	C	1	2	0	L	24>35	12	current
501	36006	2011-09-10 17:14:30	189090	65	-1	66	2011-09-10 17:21:19	189090	74	Y	2094	1318	ON	ON	36	6	EMEC	A	4	7	7	H	24>27	4	new
499	73013	2011-09-09 21:38:23	189049	278	286	-1	9999-12-31 23:00:00	0	0	Y	2092	1318	ON	ON	73	13	HEC	A	20	0	2	EST2	9>24-ID=CF21	16	current
500	38005	2011-09-09 21:28:42	189049	268	-1	269	2011-09-09 21:39:18	189049	279	Y	2092	1318	ON	ON	38	5	EMEC	A	4	6	7	L	20>23	4	new
498	73013	2011-09-09 13:10:47	189027	56	-1	57	2011-09-09 13:12:28	189027	58	Y	2091	1318	ON	ON	73	13	HEC	A	20	0	2	EST2	9>24-ID=CF21	16	current
494	320004	2011-09-08 19:18:13	0	0	0	-1	2011-09-08 19:33:45	0	0	N	2086	0	ON	ON	320	4	EMEC	A	5	3	6	H	48>71	24	current
496	338007	2011-09-08 19:18:03	0	0	-1	-1	9999-12-31 23:00:00	0	0	N	2086	0	ON	ON	338	7	EMEC	A	5	4	6	H	72>95	24	new
495	338005	2011-09-08 19:17:59	0	0	-1	-1	9999-12-31 23:00:00	0	0	N	2086	0	ON	ON	338	5	EMEC	A	5	2	6	H	24>47	24	new
497	283001	2011-09-08 12:18:57	188951	70	104	108	2011-09-08 13:10:01	188951	126	Y	2086	874	ON	RAMP	283	1	EMBPS	C	4	0	2	H	---------------	0	current
487	31005	2011-09-08 05:51:31	188921	482	-1	483	2011-09-08 05:59:39	188921	493	Y	2085	424	ON	ON	31	5	EMEC	A	5	5	7	H	16	1	new
492	31006	2011-09-08 05:51:31	188921	482	-1	484	2011-09-08 06:00:05	188921	493	Y	2085	424	ON	ON	31	6	EMEC	A	5	5	7	L	16	1	new
486	31005	2011-09-08 03:14:56	188921	328	-1	329	2011-09-08 03:21:58	188921	336	Y	2085	424	ON	ON	31	5	EMEC	A	5	5	7	H	16	1	new
491	31006	2011-09-08 03:14:56	188921	328	-1	329	2011-09-08 03:22:24	188921	336	Y	2085	424	ON	ON	31	6	EMEC	A	5	5	7	L	16	1	new
493	315000	2011-09-08 01:27:31	188921	222	223	-1	9999-12-31 23:00:00	0	0	Y	2085	424	ON	ON	315	0	EMECPS	A	16	0	1	L	---------------	0	current
490	31006	2011-09-08 00:37:52	188921	169	-1	170	2011-09-08 00:45:19	188921	178	Y	2085	424	ON	ON	31	6	EMEC	A	5	5	7	L	16	1	new
485	31005	2011-09-08 00:37:51	188921	169	-1	170	2011-09-08 00:45:06	188921	178	Y	2085	424	ON	ON	31	5	EMEC	A	5	5	7	H	16	1	new
489	31006	2011-09-08 00:02:46	188921	131	-1	132	2011-09-08 00:12:13	188921	143	Y	2085	424	ON	ON	31	6	EMEC	A	5	5	7	L	16	1	new
484	31005	2011-09-08 00:02:45	188921	131	-1	132	2011-09-08 00:09:47	188921	140	Y	2085	424	ON	ON	31	5	EMEC	A	5	5	7	H	16	1	new
483	31005	2011-09-07 20:37:57	188911	1	-1	1	2011-09-07 20:45:51	0	0	N	2083	0	ON	OFF	31	5	EMEC	A	5	5	7	H	16	1	new
488	31006	2011-09-07 20:37:53	188911	1	-1	1	2011-09-07 20:46:18	0	0	N	2083	0	ON	OFF	31	6	EMEC	A	5	5	7	L	16	1	new
482	253005	2011-08-26 21:17:13	188156	206	-1	206	2011-08-26 21:19:02	188156	208	N	2058	1	OFF	OFF	253	5	EMB	C	11	0	6	L	32>63	32	current
481	283001	2011-08-23 20:26:17	187951	44	44	64	2011-08-23 21:13:47	187951	90	N	2047	2	ON	ON	283	1	EMBPS	C	4	0	2	H	---------------	0	current
480	281001	2011-08-23 20:26:04	187951	43	71	-1	9999-12-31 23:00:00	0	0	N	2047	2	ON	ON	281	1	EMBPS	C	4	0	2	L	---------------	0	current
478	73013	2011-08-22 14:27:58	187815	247	-1	247	2011-08-22 14:28:34	187815	248	Y	2040	1318	ON	ON	73	13	HEC	A	20	0	2	EST2	9>24-ID=CF21	16	current
479	66013	2011-08-22 10:58:32	187815	37	-1	38	2011-08-22 11:01:53	187815	41	Y	2040	1318	ON	ON	66	13	HEC	A	10	0	2	EST2	9>24-ID=CF23	16	current
477	66013	2011-08-22 06:35:04	187812	22	-1	22	2011-08-22 06:37:35	187812	24	Y	2040	1318	ON	ON	66	13	HEC	A	10	0	2	EST2	9>24-ID=CF23	16	current
474	143015	2011-08-22 03:59:04	187811	408	-1	408	2011-08-22 04:09:47	187811	418	Y	2040	1318	ON	ON	143	15	EMEC	C	3	8	8	L	28>31	4	new
470	179015	2011-08-22 03:09:44	187811	359	-1	360	2011-08-22 03:11:18	187811	361	Y	2040	1318	ON	ON	179	15	HEC	C	32	0	2	PAD1	9>24-ID=CF11	16	current
476	74006	2011-08-22 00:24:07	187811	193	-1	194	2011-08-22 00:29:23	187811	199	N	2040	1318	ON	ON	74	6	HEC	A	25	0	2	EST1	9>24-ID=CF20	16	current
473	143015	2011-08-21 23:03:12	187811	111	-1	111	2011-08-21 23:14:38	187811	122	N	2039	10	ON	ON	143	15	EMEC	C	3	8	8	L	28>31	4	new
475	161013	2011-08-21 15:39:04	187763	670	-1	670	2011-08-21 15:40:25	187763	672	N	2037	1318	ON	ON	161	13	HEC	C	24	0	4	EST2	33>40-ID=CR08	8	current
471	25003	2011-08-21 12:21:13	187763	472	-1	473	2011-08-21 12:26:21	187763	478	Y	2037	1318	ON	ON	25	3	EMEC	A	4	4	6	H	72>95	24	replaced
472	143015	2011-08-21 07:45:06	187763	189	-1	189	2011-08-21 07:49:39	187763	193	Y	2037	1318	ON	ON	143	15	EMEC	C	3	8	8	L	28>31	4	new
468	152001	2011-08-21 07:29:27	187763	173	-1	173	2011-08-21 07:34:29	187763	178	Y	2037	1318	ON	ON	152	1	HEC	C	5	0	3	EST2	25>32-ID=AR02	8	current
469	73013	2011-08-21 06:45:37	187763	130	-1	130	2011-08-21 06:46:45	187763	131	Y	2037	1318	ON	ON	73	13	HEC	A	20	0	2	EST2	9>24-ID=CF21	16	current
467	152001	2011-08-21 06:38:19	187763	121	-1	121	2011-08-21 06:45:03	187763	129	N	2037	1318	ON	ON	152	1	HEC	C	5	0	3	EST2	25>32-ID=AR02	8	current
466	147015	2011-08-17 14:44:19	187501	25	-1	26	2011-08-17 14:47:50	187501	29	Y	2030	1318	ON	ON	147	15	EMEC	C	7	8	8	L	28>31	4	new
465	31004	2011-08-17 09:02:01	187457	339	-1	340	2011-08-17 09:07:31	187457	345	Y	2029	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
464	79015	2011-08-17 07:08:38	187457	226	227	-1	9999-12-31 23:00:00	0	0	Y	2029	1318	ON	ON	79	15	HEC	A	32	0	2	PAD1	9>24-ID=CF26	16	current
463	234006	2011-08-17 06:49:09	187457	204	-1	205	2011-08-17 07:08:02	187457	226	Y	2029	1318	ON	ON	234	6	EMB	C	0	0	7	H	32>63	32	current
462	132001	2011-08-17 02:20:20	187453	621	-1	622	2011-08-17 02:23:31	187453	625	Y	2028	1318	ON	ON	132	1	EMEC	C	0	2	7	H	4>7	4	new
461	170010	2011-08-15 10:22:48	0	0	-1	0	2011-08-15 10:23:48	0	0	N	2026	0	RAMP	ON	170	10	HEC	C	14	0	1	EST1	1>8-ID=CF12	8	current
460	151005	2011-08-14 22:53:51	0	0	0	0	2011-08-14 23:03:42	0	0	N	2026	0	RAMP	ON	151	5	HEC	C	11	0	4	EST2	33>40-ID=AR10	8	current
456	208008	2011-08-13 03:15:47	187219	596	-1	-1	2011-08-13 03:17:33	187219	599	Y	2025	1318	ON	ON	208	8	EMB	A	5	-1	1	L	0>31	32	current
457	210008	2011-08-13 03:15:43	187219	596	-1	597	2011-08-13 03:26:11	187219	608	Y	2025	1318	ON	ON	210	8	EMB	A	5	-1	1	H	0>31	32	current
458	210005	2011-08-12 09:48:23	187196	205	-1	-1	2011-08-12 09:50:14	187196	207	Y	2022	1317	ON	ON	210	5	EMB	A	4	0	6	H	32>63	32	current
459	44006	2011-08-12 07:45:17	187196	81	-1	82	2011-08-12 07:50:51	187196	88	Y	2022	1317	ON	ON	44	6	EMEC	A	4	7	8	H	24>25	2	replaced
455	146004	2011-08-10 08:14:16	187014	631	-1	631	2011-08-10 08:21:31	187014	639	Y	2011	1318	ON	ON	146	4	EMEC	C	4	5	8	L	16>19	4	new
453	44006	2011-08-10 06:16:01	187014	513	-1	513	2011-08-10 06:21:48	187014	519	Y	2011	1318	ON	ON	44	6	EMEC	A	4	7	8	H	24>25	2	replaced
454	275015	2011-08-09 18:22:58	186965	1279	1281	-1	2011-08-09 18:56:46	186981	0	N	2010	0	ON	ON	275	15	EMBPS	A	23	0	4	H	---------------	0	current
452	40015	2011-08-09 12:22:35	186965	922	-1	922	2011-08-09 12:27:55	186965	928	Y	2010	1318	ON	ON	40	15	EMEC	A	1	8	8	H	28>31	4	new
450	68011	2011-08-08 23:28:27	186965	150	152	-1	9999-12-31 23:00:00	0	0	N	2010	1318	ON	ON	68	11	HEC	A	6	0	1	PAD1	1>8-ID=AF24	8	current
449	256009	2011-08-08 18:05:40	186934	1285	1287	-1	2011-08-08 18:21:08	0	0	N	2009	1318	ON	ON	256	9	EMB	C	13	-1	2	L	0>31	32	replaced
448	102000	2011-08-08 15:27:08	186934	1128	-1	1128	2011-08-08 15:36:58	186934	1137	Y	2009	1318	ON	ON	102	0	EMEC	C	0	1	0	L	0>23	24	current
451	210005	2011-08-08 13:31:52	186934	1010	-1	1011	2011-08-08 13:33:18	186934	1012	Y	2009	1318	ON	ON	210	5	EMB	A	4	0	6	H	32>63	32	current
445	31004	2011-08-07 04:53:57	186923	924	-1	924	2011-08-07 05:00:26	186923	930	Y	2007	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
446	241013	2011-08-06 18:30:57	186923	309	-1	309	2011-08-06 18:44:56	186923	323	Y	2007	1318	ON	ON	241	13	EMB	C	6	-1	6	L	0>31	32	current
447	243013	2011-08-06 18:30:57	186923	309	-1	309	2011-08-06 18:32:47	186923	311	Y	2007	1318	ON	ON	243	13	EMB	C	6	-1	6	H	0>31	32	current
441	4004	2011-08-06 04:31:23	186877	1463	-1	1463	2011-08-06 04:33:00	186877	1464	Y	2006	1318	ON	ON	4	4	EMEC	A	1	1	1	H	0>23	24	current
442	8004	2011-08-06 04:31:23	186877	1463	-1	1463	2011-08-06 04:33:00	186877	1464	Y	2006	1318	ON	ON	8	4	EMEC	A	1	1	2	H	0>23	24	current
440	125015	2011-08-05 20:01:50	186877	910	-1	910	2011-08-05 20:06:03	186877	914	Y	2006	1318	ON	ON	125	15	EMEC	C	7	4	6	H	72>95-75	23	new
439	154009	2011-08-05 15:56:27	186877	658	-1	658	2011-08-05 15:57:26	186877	659	Y	2006	1318	ON	ON	154	9	HEC	C	14	0	3	EST2	25>32-ID=AR05	8	current
443	137005	2011-08-05 11:35:15	186877	392	-1	392	2011-08-05 11:38:18	186877	395	Y	2006	1318	ON	ON	137	5	EMEC	C	6	6	7	H	20>23	4	new
444	275015	2011-08-05 09:06:35	186877	240	251	-1	9999-12-31 23:00:00	0	0	Y	2006	1318	ON	ON	275	15	EMBPS	A	23	0	4	H	---------------	0	current
438	324004	2011-08-04 12:15:32	0	0	0	-1	9999-12-31 23:00:00	0	0	N	2002	0	ON	ON	324	4	EMEC	C	1	1	6	H	0>23	24	current
437	242006	2011-08-03 14:40:31	186729	401	-1	401	2011-08-03 14:59:16	186729	419	Y	2000	1318	ON	ON	242	6	EMB	C	4	0	7	H	32>63	32	current
436	240006	2011-08-03 14:40:30	186729	401	-1	401	2011-08-03 14:58:51	186729	419	Y	2000	1318	ON	ON	240	6	EMB	C	4	0	7	L	32>63	32	current
435	31004	2011-08-03 06:57:00	0	0	-1	0	2011-08-03 07:04:28	0	0	N	2000	0	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
434	31004	2011-08-02 12:44:41	186673	478	-1	478	2011-08-02 12:53:20	186673	486	Y	1998	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
433	78007	2011-07-30 23:21:06	186532	218	-1	218	2011-07-30 23:26:56	186532	224	Y	1993	1318	ON	ON	78	7	HEC	A	29	0	2	PAD1	9>24-ID=AF22	16	current
431	317004	2011-07-30 22:54:02	186532	188	188	-1	2011-07-31 00:56:05	186533	6	N	1994	0	ON	ON	317	4	EMECPS	C	20	0	1	H	---------------	0	current
432	20005	2011-07-30 12:11:19	186516	69	-1	69	2011-07-30 12:12:07	186516	69	Y	1992	1318	ON	ON	20	5	EMEC	A	1	2	5	H	24>47	24	new
430	78007	2011-07-29 21:19:06	186493	433	-1	433	2011-07-29 21:23:23	186493	437	Y	1991	1318	ON	ON	78	7	HEC	A	29	0	2	PAD1	9>24-ID=AF22	16	current
421	250004	2011-07-28 11:33:29	186399	374	387	381	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	4	EMB	C	8	0	5	H	32>63	32	current
422	250006	2011-07-28 11:33:29	186399	374	383	381	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	6	EMB	C	8	0	7	H	32>63	32	current
418	250001	2011-07-28 11:33:28	186399	374	386	380	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	1	EMB	C	8	0	2	H	32>63	32	current
419	250002	2011-07-28 11:33:28	186399	374	386	381	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	2	EMB	C	8	0	3	H	32>63	32	current
420	250003	2011-07-28 11:33:28	186399	374	-1	381	2011-07-28 11:52:03	186399	393	Y	1986	1318	ON	ON	250	3	EMB	C	8	0	4	H	32>63	32	current
424	250009	2011-07-28 11:33:27	186399	374	389	381	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	9	EMB	C	9	-1	2	H	0>31	32	current
425	250010	2011-07-28 11:33:18	186399	374	395	382	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	10	EMB	C	9	-1	3	H	0>31	32	current
426	250011	2011-07-28 11:33:18	186399	374	394	382	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	11	EMB	C	9	-1	4	H	0>31	32	current
427	250012	2011-07-28 11:33:18	186399	374	392	382	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	12	EMB	C	9	-1	5	H	0>31	32	current
428	250013	2011-07-28 11:33:16	186399	374	389	382	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	13	EMB	C	9	-1	6	H	0>31	32	current
429	250014	2011-07-28 11:33:16	186399	374	385	382	9999-12-31 23:00:00	0	0	Y	1986	1318	ON	ON	250	14	EMB	C	9	-1	7	H	0>31	32	current
417	248008	2011-07-28 11:32:52	186399	374	-1	374	2011-07-28 11:48:56	186399	390	Y	1986	1318	ON	ON	248	8	EMB	C	9	-1	1	L	0>31	32	current
423	250008	2011-07-28 11:32:41	186399	374	376	-1	2011-07-28 11:35:00	0	-1	Y	1986	1318	ON	ON	250	8	EMB	C	9	-1	1	H	0>31	32	current
416	112007	2011-07-28 04:32:24	186396	750	-1	751	2011-07-28 04:36:19	186396	754	Y	1985	1318	ON	ON	112	7	EMEC	C	1	4	3	H	72>95	24	current
415	31004	2011-07-26 04:28:49	186275	467	-1	468	2011-07-26 04:29:10	186276	-1	Y	1979	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
414	31004	2011-07-26 04:14:13	186275	451	-1	451	2011-07-26 04:14:14	186275	466	Y	1979	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
413	31004	2011-07-26 04:04:09	186275	439	-1	439	2011-07-26 04:04:10	186275	450	Y	1979	1318	ON	ON	31	4	EMEC	A	4	8	8	L	30	1	new
412	66013	2011-07-26 03:26:45	186275	399	-1	399	2011-07-26 03:30:20	186275	403	Y	1979	1318	ON	ON	66	13	HEC	A	10	0	2	EST2	9>24-ID=CF23	16	current
411	146004	2011-07-25 08:48:43	186217	95	-1	95	2011-07-25 08:55:41	186217	102	Y	1975	1318	ON	ON	146	4	EMEC	C	4	5	8	L	16>19	4	new
